date,open,high,low,close,volume
2026-08-23 00:00:00,77061.3,77353.405,77019.44,77288.75,0.026103237
2026-08-23 01:00:00,77288.2245,77394.605,77150.978,77187.4115,0.025723848
2026-08-23 02:00:00,77182.905,77213.305,76986.8,77067.429,0.047476723
2026-08-23 03:00:00,77071.505,77131.069,76826.0925,76916.16,0.029587
2026-08-23 04:00:00,76917.04,77030.11,76490.1615,76595.8825,0.142031912
2026-08-23 05:00:00,76593.59,76718.6745,75569.175,76049.8965,0.100077602
2026-08-23 06:00:00,76056.3,76344.7635,75883.43,76092.05,0.071819971
2026-08-23 07:00:00,76089.44,76341.45,75881.965,75992.21,0.015260529
2026-08-23 08:00:00,75984.8705,76639.145,75932.4585,76468.515,0.01310891
2026-08-23 09:00:00,76468.0455,76631.775,76443.429,76538.697,0.304069886
2026-08-23 10:00:00,76530.2,76916.124,76521.6,76777.7225,0.011064574
2026-08-23 11:00:00,76777.5245,77375.5485,76728.4,77294.745,0.05158906
2026-08-23 12:00:00,77283.17,77299.6055,76995.545,77202.828,0.038381745
2026-08-23 13:00:00,77203.618,77743.35,77193.115,77478.952,0.212724339
2026-08-23 14:00:00,77470.3,77632.19,76787.945,77181.4,0.031226831
2026-08-23 15:00:00,77178.93,77325.8645,76915.045,77138.711,0.012659557
2026-08-23 16:00:00,77149.759,77460.635,77138.711,77407.56,0.029233194
2026-08-23 17:00:00,77413.105,77470.57,77144.2,77168.03,0.203401908
2026-08-23 18:00:00,77171.63,77401.4,77102.3,77334.976,0.011626527
2026-08-23 19:00:00,77342.659,77468.495,77236.655,77332.8,0.048174516
2026-08-23 20:00:00,77331.26,77451.3,77188.26,77392.52,0.034032049
2026-08-23 21:00:00,77400.1715,78045.66,77400.1715,77836.2165,0.081812872
2026-08-23 22:00:00,77827.79,77983.885,77558.515,77594.378,0.028911639
2026-08-23 23:00:00,77604.268,77830.429,77286.17,77733.4255,0.002857045
2026-08-24 00:00:00,77738.6,77744.1455,77165.425,77671.305,0.098670446
2026-08-24 01:00:00,77684.55,77711.032,76909.254,76915.25,0.085071471
2026-08-24 02:00:00,76921.86,77546.792,76872.087,77469.219,0.053107264
2026-08-24 03:00:00,77474.034,77526.405,76918.786,76933.7,0.04022805
2026-08-24 04:00:00,76941.197,77251.5,76669.5,76893.15,0.04493977
2026-08-24 05:00:00,76889.56,77232.27,76831.51,77158.102,0.745555957
2026-08-24 06:00:00,77149.368,77524.313,77068.85,77461.8705,0.025844038
2026-08-24 07:00:00,77458.9505,77785.41,77264.956,77297.056,0.013264363
2026-08-24 08:00:00,77308.45,77399.9735,76815.24,77022.8035,0.111213114
2026-08-24 09:00:00,77023.508,77589.24,77001.265,77535.4265,0.044584608
2026-08-24 10:00:00,77523.153,78015.018,77522.59,77604.035,0.010224634
2026-08-24 11:00:00,77607.529,78589.165,77432.1395,78435.741,0.151888969
2026-08-24 12:00:00,78421.962,79301.5595,77965.144,79141.4895,0.511501192
2026-08-24 13:00:00,79123.8895,79410.7315,77848.21,78559.7055,0.210490277
2026-08-24 14:00:00,78571.6955,79847.991,78568.4,79490.2585,0.181976254
2026-08-24 15:00:00,79503.6245,79994.9,78822.3265,79082.95,0.387924566
2026-08-24 16:00:00,79093.259,79861.836,78893.956,79040.73,0.383217495
2026-08-24 17:00:00,79049.6965,79198.0,78468.2,78754.0915,0.314633841
2026-08-24 18:00:00,78768.417,79109.2,78726.5785,78933.34,0.097872496
2026-08-24 19:00:00,78934.75,79123.35,78587.965,78743.375,0.013801096
2026-08-24 20:00:00,78746.766,78996.13,78545.205,78930.89,0.040563316
2026-08-24 21:00:00,78931.797,79038.809,78838.478,78970.35,0.010517067
2026-08-24 22:00:00,78963.95,78983.1145,78697.165,78741.1845,0.003903811
2026-08-24 23:00:00,78750.75,79021.5,78623.345,78981.3,1.015620999
2026-08-25 00:00:00,78979.453,79881.944,78707.59,79728.835,0.043950754
2026-08-25 01:00:00,79733.3,79977.0865,79477.77,79818.431,0.28553812
2026-08-25 02:00:00,79821.95,81218.274111675,79731.55,80631.005,0.597778215
2026-08-25 03:00:00,80637.51,80947.3,80303.253,80469.9605,0.724573383
2026-08-25 04:00:00,80464.631,80593.65,80124.985,80345.53,0.499489123
2026-08-25 05:00:00,80347.941,80799.2085,80293.801,80699.118,0.124905756
2026-08-25 06:00:00,80708.6355,80887.853,80374.715,80537.21,0.315080621
2026-08-25 07:00:00,80531.875,80780.345,79338.7,79670.218,0.056598377
2026-08-25 08:00:00,79693.7,80230.0525,79580.71,79906.8645,0.11313735
2026-08-25 09:00:00,79910.7585,79961.7,78856.35,79175.433,0.103979078
2026-08-25 10:00:00,79168.15,79476.784,78975.342,79295.1895,0.084115462
2026-08-25 11:00:00,79293.292,79452.37,79033.19,79118.805,0.141146876
2026-08-25 12:00:00,79132.91,79166.516,78628.1455,78966.0715,0.056605195
2026-08-25 13:00:00,78976.61,79233.8,78109.9295,78638.13,0.048198998
2026-08-25 14:00:00,78637.3,79376.1,78517.205,79233.275,0.204537243
2026-08-25 15:00:00,79242.4,79549.8,79020.952,79507.435,0.100867208
2026-08-25 16:00:00,79515.25,79563.1662,79068.74,79156.215,0.031044906
2026-08-25 17:00:00,79152.7,79262.61,78744.945,79234.0475,0.021985661
2026-08-25 18:00:00,79230.121,79342.11,79041.035,79119.61,0.090998728
2026-08-25 19:00:00,79118.1065,79240.813,78726.58,78930.6265,0.055210161
2026-08-25 20:00:00,78940.02,78979.74,78167.515,78183.665,0.01583267
2026-08-25 21:00:00,78179.4335,78662.965,77847.129,78554.2315,0.049152006
2026-08-25 22:00:00,78561.281,78990.744,78561.281,78874.3815,0.004415767
2026-08-25 23:00:00,78882.43,78967.575,78371.3,78530.8,0.057187376
